Epoch,Loss_train,Loss_test,Accuracy_train,Accuracy_test
0,0.2138,0.1243,0.9381,0.9595
1,0.0866,0.0941,0.9744,0.9679
2,0.0599,0.082,0.9827,0.9726
3,0.0449,0.0763,0.988,0.9755
4,0.0351,0.0724,0.991,0.9773
5,0.0281,0.0697,0.9934,0.9778
6,0.0228,0.0673,0.9952,0.9786
7,0.0188,0.0661,0.9964,0.9788
8,0.0156,0.0655,0.9972,0.9793
9,0.0131,0.0648,0.998,0.9795
10,0.0111,0.0644,0.9984,0.9792
11,0.0095,0.0641,0.9989,0.9801
12,0.0082,0.0641,0.9992,0.9796
13,0.0071,0.0642,0.9994,0.9802
14,0.0062,0.0641,0.9996,0.9804
