Epoch,Loss_train,Loss_test,Accuracy_train,Accuracy_test
0,0.2226,0.1492,0.9323,0.9526
1,0.0956,0.1151,0.9714,0.9632
2,0.0635,0.1336,0.9811,0.9601
3,0.0493,0.1482,0.9848,0.9621
4,0.0389,0.116,0.9868,0.9685
5,0.0331,0.1168,0.9889,0.9706
6,0.0287,0.112,0.9904,0.9746
7,0.0283,0.1031,0.9907,0.9743
8,0.0248,0.0911,0.9918,0.9774
9,0.0193,0.1059,0.9936,0.9749
10,0.0219,0.1036,0.9924,0.9762
11,0.0199,0.1237,0.9936,0.9736
12,0.0181,0.1156,0.9942,0.9753
13,0.0171,0.1171,0.9946,0.9778
14,0.0186,0.1115,0.9944,0.9778
