Epoch,Loss_train,Loss_test,Accuracy_train,Accuracy_test
0,0.2086,0.1369,0.9362,0.9577
1,0.0934,0.1149,0.9726,0.9671
2,0.0668,0.1104,0.981,0.9728
3,0.0516,0.1096,0.9854,0.9737
4,0.0419,0.1557,0.9878,0.9681
5,0.0374,0.1244,0.9897,0.9778
6,0.0335,0.1415,0.9909,0.9749
7,0.0307,0.1975,0.9916,0.9712
8,0.0273,0.1927,0.9925,0.9713
9,0.025,0.1691,0.9935,0.9766
10,0.0226,0.1828,0.9939,0.9752
11,0.0228,0.1678,0.9946,0.9786
12,0.0235,0.2115,0.994,0.9743
13,0.018,0.1755,0.9955,0.9777
14,0.0201,0.1897,0.9954,0.9764
