Epoch,Loss_train,Loss_test,Accuracy_train,Accuracy_test
0,0.4482,0.2623,0.8719,0.9216
1,0.2263,0.2004,0.935,0.9399
2,0.178,0.167,0.949,0.9495
3,0.1487,0.1457,0.9574,0.9567
4,0.1283,0.1311,0.9635,0.9611
5,0.1129,0.1205,0.9682,0.964
6,0.1007,0.1126,0.9719,0.9656
7,0.0906,0.1065,0.9748,0.9673
8,0.0821,0.1014,0.9772,0.9684
9,0.0748,0.0971,0.9795,0.9694
10,0.0684,0.0934,0.9816,0.9701
11,0.0628,0.0902,0.9833,0.9709
12,0.0579,0.0876,0.9849,0.972
13,0.0534,0.0853,0.986,0.9725
14,0.0495,0.0833,0.9872,0.9735
